dataset,source_name,channel,fs,location,policy,boundary_rmse_uv
sleepedf,SC4001E0-PSG.edf,0,100.0,record_start,causal,16.369991
sleepedf,SC4001E0-PSG.edf,0,100.0,record_start,reflect_zerophase,3.329927
sleepedf,SC4001E0-PSG.edf,0,100.0,interior,causal,32.709218
sleepedf,SC4001E0-PSG.edf,0,100.0,interior,reflect_zerophase,0.492317
sleepedf,SC4001E0-PSG.edf,0,100.0,interior,prefetch,0.000397
sleepedf,SC4001E0-PSG.edf,1,100.0,record_start,causal,6.399806
sleepedf,SC4001E0-PSG.edf,1,100.0,record_start,reflect_zerophase,0.62942
sleepedf,SC4001E0-PSG.edf,1,100.0,interior,causal,5.778102
sleepedf,SC4001E0-PSG.edf,1,100.0,interior,reflect_zerophase,0.257871
sleepedf,SC4001E0-PSG.edf,1,100.0,interior,prefetch,0.000303
sleepedf,SC4011E0-PSG.edf,0,100.0,record_start,causal,66.403382
sleepedf,SC4011E0-PSG.edf,0,100.0,record_start,reflect_zerophase,17.943524
sleepedf,SC4011E0-PSG.edf,0,100.0,interior,causal,21.222186
sleepedf,SC4011E0-PSG.edf,0,100.0,interior,reflect_zerophase,4.832297
sleepedf,SC4011E0-PSG.edf,0,100.0,interior,prefetch,0.000944
sleepedf,SC4011E0-PSG.edf,1,100.0,record_start,causal,11.677374
sleepedf,SC4011E0-PSG.edf,1,100.0,record_start,reflect_zerophase,2.284991
sleepedf,SC4011E0-PSG.edf,1,100.0,interior,causal,9.579666
sleepedf,SC4011E0-PSG.edf,1,100.0,interior,reflect_zerophase,0.460746
sleepedf,SC4011E0-PSG.edf,1,100.0,interior,prefetch,0.000262
sleepedf,SC4021E0-PSG.edf,0,100.0,record_start,causal,14.922314
sleepedf,SC4021E0-PSG.edf,0,100.0,record_start,reflect_zerophase,2.663063
sleepedf,SC4021E0-PSG.edf,0,100.0,interior,causal,8.293359
sleepedf,SC4021E0-PSG.edf,0,100.0,interior,reflect_zerophase,1.62302
sleepedf,SC4021E0-PSG.edf,0,100.0,interior,prefetch,0.000162
sleepedf,SC4021E0-PSG.edf,1,100.0,record_start,causal,8.48314
sleepedf,SC4021E0-PSG.edf,1,100.0,record_start,reflect_zerophase,0.508467
sleepedf,SC4021E0-PSG.edf,1,100.0,interior,causal,13.487503
sleepedf,SC4021E0-PSG.edf,1,100.0,interior,reflect_zerophase,0.534263
sleepedf,SC4021E0-PSG.edf,1,100.0,interior,prefetch,0.000436
sleepedf,SC4031E0-PSG.edf,0,100.0,record_start,causal,10.655933
sleepedf,SC4031E0-PSG.edf,0,100.0,record_start,reflect_zerophase,1.566295
sleepedf,SC4031E0-PSG.edf,0,100.0,interior,causal,8.763016
sleepedf,SC4031E0-PSG.edf,0,100.0,interior,reflect_zerophase,0.166579
sleepedf,SC4031E0-PSG.edf,0,100.0,interior,prefetch,0.000987
sleepedf,SC4031E0-PSG.edf,1,100.0,record_start,causal,16.661513
sleepedf,SC4031E0-PSG.edf,1,100.0,record_start,reflect_zerophase,5.096602
sleepedf,SC4031E0-PSG.edf,1,100.0,interior,causal,37.922532
sleepedf,SC4031E0-PSG.edf,1,100.0,interior,reflect_zerophase,1.927246
sleepedf,SC4031E0-PSG.edf,1,100.0,interior,prefetch,0.000563
sleepedf,SC4041E0-PSG.edf,0,100.0,record_start,causal,17.837284
sleepedf,SC4041E0-PSG.edf,0,100.0,record_start,reflect_zerophase,1.629247
sleepedf,SC4041E0-PSG.edf,0,100.0,interior,causal,57.858247
sleepedf,SC4041E0-PSG.edf,0,100.0,interior,reflect_zerophase,0.636225
sleepedf,SC4041E0-PSG.edf,0,100.0,interior,prefetch,0.001353
sleepedf,SC4041E0-PSG.edf,1,100.0,record_start,causal,10.784613
sleepedf,SC4041E0-PSG.edf,1,100.0,record_start,reflect_zerophase,1.060568
sleepedf,SC4041E0-PSG.edf,1,100.0,interior,causal,14.08655
sleepedf,SC4041E0-PSG.edf,1,100.0,interior,reflect_zerophase,1.554382
sleepedf,SC4041E0-PSG.edf,1,100.0,interior,prefetch,0.002021
sleepedf,SC4051E0-PSG.edf,0,100.0,record_start,causal,55.207199
sleepedf,SC4051E0-PSG.edf,0,100.0,record_start,reflect_zerophase,4.310231
sleepedf,SC4051E0-PSG.edf,0,100.0,interior,causal,60.220604
sleepedf,SC4051E0-PSG.edf,0,100.0,interior,reflect_zerophase,1.396384
sleepedf,SC4051E0-PSG.edf,0,100.0,interior,prefetch,0.000575
sleepedf,SC4051E0-PSG.edf,1,100.0,record_start,causal,11.425238
sleepedf,SC4051E0-PSG.edf,1,100.0,record_start,reflect_zerophase,1.344327
sleepedf,SC4051E0-PSG.edf,1,100.0,interior,causal,12.133312
sleepedf,SC4051E0-PSG.edf,1,100.0,interior,reflect_zerophase,0.14925
sleepedf,SC4051E0-PSG.edf,1,100.0,interior,prefetch,0.001091
sleepedf,SC4061E0-PSG.edf,0,100.0,record_start,causal,111.664754
sleepedf,SC4061E0-PSG.edf,0,100.0,record_start,reflect_zerophase,8.037271
sleepedf,SC4061E0-PSG.edf,0,100.0,interior,causal,36.636207
sleepedf,SC4061E0-PSG.edf,0,100.0,interior,reflect_zerophase,1.487556
sleepedf,SC4061E0-PSG.edf,0,100.0,interior,prefetch,0.001378
sleepedf,SC4061E0-PSG.edf,1,100.0,record_start,causal,13.910182
sleepedf,SC4061E0-PSG.edf,1,100.0,record_start,reflect_zerophase,1.139351
